Data,Timestamp,Wall_Time,MPU_Temp,IMU_Ax,IMU_Ay,IMU_Az,IMU_Gx,IMU_Gy,IMU_Gz,MSU_Ax,MSU_Ay,MSU_Az,Baro_Temp,Baro
0,1539388596.2906837,2018-10-13_075636,45.989,0.111,-0.06,0.946,-0.71,-0.183,-0.465,53.594,-27.947,80.106,43.39,1019.036640625
1,1539388596.4068522,2018-10-13_075636,45.983,0.11,-0.06,0.946,-0.755,-0.221,-0.366,53.065,-26.709,80.617,43.39,1019.054375
2,1539388596.5068507,2018-10-13_075636,45.986,0.11,-0.062,0.95,-0.763,0.008,-0.473,53.594,-26.886,81.129,43.39,1019.03703125
3,1539388596.615062,2018-10-13_075636,45.992,0.107,-0.06,0.949,-0.854,-0.275,-0.519,51.831,-25.117,81.47,43.39,1019.0695703125
4,1539388596.7253175,2018-10-13_075636,45.959,0.111,-0.059,0.947,-0.87,-0.229,-0.473,53.065,-24.94,80.958,43.39,1019.047421875
5,1539388596.8219876,2018-10-13_075636,46.007,0.111,-0.06,0.948,-0.71,-0.168,-0.58,52.536,-25.117,80.106,43.39,1019.0331640625
6,1539388596.9262643,2018-10-13_075636,46.043,0.109,-0.059,0.948,-0.862,-0.183,-0.42,54.123,-26.002,79.595,43.39,1019.0526171875
7,1539388597.0259888,2018-10-13_075637,46.019,0.109,-0.061,0.947,-0.908,-0.114,-0.389,52.536,-26.886,80.788,43.39,1019.036640625
8,1539388597.1303518,2018-10-13_075637,46.022,0.111,-0.06,0.949,-0.87,-0.168,-0.473,53.946,-27.24,80.106,43.39,1019.0595703125
9,1539388597.2348597,2018-10-13_075637,46.028,0.109,-0.06,0.948,-0.687,-0.092,-0.504,54.828,-28.478,79.595,43.39,1019.047421875
10,1539388597.333882,2018-10-13_075637,46.034,0.109,-0.061,0.947,-0.847,-0.107,-0.481,53.418,-26.355,80.958,43.39,1019.05609375
11,1539388597.4352195,2018-10-13_075637,46.022,0.107,-0.058,0.945,-0.71,-0.175,-0.481,54.652,-27.593,81.81,43.39,1019.0522265625
12,1539388597.531114,2018-10-13_075637,46.013,0.11,-0.056,0.946,-0.877,-0.16,-0.427,54.123,-26.709,81.64,43.39,1019.038359375
13,1539388597.6343696,2018-10-13_075637,46.016,0.109,-0.06,0.947,-0.816,-0.282,-0.534,53.241,-25.471,80.447,43.39,1019.0262109375
14,1539388597.73388,2018-10-13_075637,46.019,0.11,-0.059,0.946,-0.816,-0.099,-0.504,0,0,0,43.39,1019.040078125
15,1539388597.8292067,2018-10-13_075637,46.052,0.11,-0.057,0.948,-0.755,-0.313,-0.511,52.712,-25.648,81.299,43.39,1019.04703125
16,1539388597.9204106,2018-10-13_075637,46.052,0.112,-0.059,0.948,-0.771,-0.221,-0.42,53.77,-26.709,80.958,43.39,1019.03140625
17,1539388598.020854,2018-10-13_075638,46.001,0.109,-0.06,0.947,-0.763,-0.221,-0.336,52.536,-26.886,81.47,43.39,1019.0678125
18,1539388598.1226022,2018-10-13_075638,45.992,0.11,-0.061,0.945,-0.832,-0.153,-0.534,0,0,0,43.39,1019.0590234375
19,1539388598.2262182,2018-10-13_075638,46.031,0.11,-0.058,0.947,-0.679,-0.168,-0.412,52.536,-26.178,81.81,43.39,1019.038359375
20,1539388598.3231702,2018-10-13_075638,46.037,0.111,-0.06,0.947,-0.801,-0.084,-0.465,52.536,-26.886,80.106,43.39,1019.0405078125
21,1539388598.4223797,2018-10-13_075638,46.031,0.109,-0.061,0.95,-0.633,0.023,-0.381,53.065,-26.709,80.958,43.39,1019.040078125
22,1539388598.5242567,2018-10-13_075638,46.022,0.111,-0.059,0.948,-0.771,-0.237,-0.496,52.712,-24.94,80.958,43.39,1019.02796875
23,1539388598.6621401,2018-10-13_075638,46.013,0.11,-0.059,0.949,-0.687,-0.008,-0.519,0,0,0,43.39,1019.0539453125
24,1539388598.8025348,2018-10-13_075638,46.034,0.11,-0.058,0.947,-0.664,-0.145,-0.595,54.652,-28.655,81.47,43.39,1019.0526171875
25,1539388598.9300058,2018-10-13_075638,46.031,0.111,-0.06,0.945,-0.885,-0.214,-0.443,0,0,0,43.39,1019.036640625
26,1539388599.028826,2018-10-13_075639,46.037,0.112,-0.061,0.949,-0.755,-0.183,-0.443,52.36,-26.355,80.958,43.4,1019.058671875
27,1539388599.1290803,2018-10-13_075639,46.025,0.111,-0.061,0.943,-0.885,-0.16,-0.458,52.36,-26.709,79.936,43.4,1019.0591015625
28,1539388599.232143,2018-10-13_075639,46.064,0.112,-0.061,0.949,-0.877,-0.153,-0.389,53.418,-26.002,81.64,43.4,1019.0400390625
29,1539388599.338141,2018-10-13_075639,46.007,0.113,-0.06,0.945,-0.877,-0.122,-0.534,53.241,-27.947,79.765,43.4,1019.056953125
30,1539388599.4436202,2018-10-13_075639,46.004,0.111,-0.059,0.949,-0.717,-0.198,-0.496,53.418,-25.294,81.981,43.4,1019.0565234375
31,1539388599.5504196,2018-10-13_075639,46.016,0.11,-0.059,0.948,-0.862,-0.221,-0.542,53.594,-27.24,80.788,43.39,1019.054375
32,1539388599.6475413,2018-10-13_075639,46.034,0.112,-0.059,0.945,-0.847,-0.13,-0.656,52.007,-26.355,81.299,43.39,1019.064375
33,1539388599.7497156,2018-10-13_075639,46.04,0.111,-0.061,0.944,-0.687,-0.221,-0.549,53.594,-29.009,80.447,43.39,1019.054375
34,1539388599.855793,2018-10-13_075639,46.004,0.112,-0.06,0.944,-0.809,-0.114,-0.534,53.418,-27.063,79.936,43.39,1019.0526171875
35,1539388599.9581015,2018-10-13_075639,46.028,0.111,-0.06,0.949,-0.916,-0.252,-0.511,53.065,-25.648,79.936,43.4,1019.06
36,1539388600.0622437,2018-10-13_075640,46.061,0.112,-0.061,0.947,-0.748,0.198,-0.45,53.594,-24.056,81.81,43.4,1019.0357421875
37,1539388600.1629915,2018-10-13_075640,46.022,0.111,-0.058,0.948,-0.633,-0.092,-0.465,0,0,0,43.4,1019.0183984375
38,1539388600.2637825,2018-10-13_075640,46.046,0.112,-0.061,0.948,-0.969,0.015,-0.534,0,0,0,43.4,1019.045234375
39,1539388600.366876,2018-10-13_075640,46.049,0.108,-0.059,0.947,-0.816,-0.198,-0.473,53.065,-25.648,81.981,43.4,1019.06171875
40,1539388600.4696486,2018-10-13_075640,46.034,0.11,-0.061,0.949,-0.916,-0.252,-0.473,54.828,-27.417,80.958,43.4,1019.0721484375
